schemaVersion,recordType,source_name,source_url,company,title,date,is_remote,role_family,collectedAt
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-faint-cracks-chinadebate-1136323,Chinadebate,Faint Cracks,2026-08-08T05:25:08Z,True,Engineering,2026-08-12T07:42:00.274536Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-management-casna-group-1136326,Casna Group,Management,2026-08-08T04:42:31Z,True,Engineering,2026-08-12T07:42:00.284112Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-corporate-ulta-3-cosmetics-amp-salon-1136331,Ulta 3 Cosmetics &Amp; Salon,Corporate,2026-08-08T04:13:37Z,True,Engineering,2026-08-12T07:41:59.497527Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-distribution-centers-ulta-3-cosmetics-amp-salon-1136332,Ulta 3 Cosmetics &Amp; Salon,Distribution Centers,2026-08-08T04:13:26Z,True,Engineering,2026-08-12T07:41:59.390858Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-veck-io-productionbeast-1136320,Productionbeast,Veck IO,2026-08-08T03:04:36Z,True,Engineering,2026-08-12T07:41:59.453365Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-driving-directions-productionbeast-1136319,Productionbeast,Driving Directions,2026-08-08T02:59:31Z,True,Engineering,2026-08-12T07:42:00.225509Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-for-india-uniparts-india-ltd-1136318,Uniparts India Ltd.,For India,2026-08-08T02:26:06Z,True,Engineering,2026-08-12T07:42:00.471612Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-join-our-team-precision-safe-sidewalks-1136321,Precision Safe Sidewalks,JOIN OUR TEAM,2026-08-08T02:22:40Z,True,Engineering,2026-08-12T07:42:00.365736Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-come-join-our-team-belfast-area-chamber-of-commerce-1136322,Belfast Area Chamber Of Commerce,Come join our team,2026-08-08T02:09:04Z,True,Engineering,2026-08-12T07:42:00.405944Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-the-three-bills-giant-leap-consulting-1136315,Giant Leap Consulting,The Three Bills,2026-08-07T21:07:53Z,True,Engineering,2026-08-12T07:42:00.408681Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-need-find-out-the-us-border-wait-times-real-time-both-directions-https-www-lalineaapp-com-twittaer-1136351,Twittaer,"Need find out the us border wait times real time both directions 
https www.lalineaapp.com..",2026-08-07T19:54:29Z,True,Engineering,2026-08-12T07:42:00.744837Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-assembler-manunor-inc-1136312,Manunor Inc.,Assembler,2026-08-07T19:15:25Z,True,Engineering,2026-08-12T07:42:00.771928Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-page-not-found-paxio-1136324,Paxio,Page Not Found,2026-08-07T19:01:50Z,True,Engineering,2026-08-12T07:42:00.741124Z
